halo_subs_idx,host_id,R_vir_host_kpc,r_gal_kpc,mpeak,vpeak,r_acc_kpc,M_V,r_half_kpc,mu_V,M_star,base_survival,f_wdm,weight,cosmo
130,23,278.48857142857145,178.04817107875982,117600000.0,15.51,14.577142857142858,-2.8249688414747656,0.043889432350799285,28.95228064882997,1539.1733550258173,0.3819133961446243,0.7679866470684535,0.29330438857563607,WDM_8keV
131,23,278.48857142857145,256.10217030054883,139600000.0,12.84,16.26,-1.07373053772079,0.02659521026511551,29.615736274462456,306.7553989226577,0.8253568404433691,0.7970998943653499,0.6578918503311284,WDM_8keV
132,23,278.48857142857145,166.41209053896534,144400000.0,14.53,12.488571428571431,-2.697880640604147,0.00035706682252288906,18.63131652453955,1369.1538634659314,0.9461002108785168,0.8025067063412002,0.7592517641008335,WDM_8keV
135,23,278.48857142857145,181.4952487150078,86000000.0,13.97,13.678571428571429,-1.8276477820406418,0.016180814886627717,27.782803836130288,614.2697273753835,0.7160212485964565,0.7077518346961198,0.5067653523755486,WDM_8keV
136,23,278.48857142857145,45.6029939940769,570200000.0,25.66,23.71428571428572,-6.828082640304017,0.13065677060356787,27.318026629020544,61451.58035090416,0.08122434800296441,0.941287287119389,0.07645544617975153,WDM_8keV
137,23,278.48857142857145,137.0026105814082,83180000.0,12.4,12.097142857142858,-1.5895313560552449,0.004502769796127018,25.243317036077816,493.30162083685667,0.8988301831147207,0.7008199322648054,0.6299181080480213,WDM_8keV
139,23,278.48857142857145,27.49923932157371,400700000.0,23.46,24.728571428571428,-7.067302978793843,0.059087269997929674,25.35561631603735,76598.66339874479,0.16602642932014977,0.9184854720110786,0.15249286330043174,WDM_8keV
143,23,278.48857142857145,175.33453505706333,55270000.0,11.67,11.598571428571429,-0.9385976850441144,0.02567415019153101,29.674332373149706,270.8563826211253,0.923513359178614,0.6090303525341767,0.562447666710573,WDM_8keV
144,23,278.48857142857145,136.6121061656679,80080000.0,13.45,11.188571428571429,-1.6163262154698854,0.015640439056538443,27.920368157214465,505.6272670589409,0.9651504181850293,0.6928100565446059,0.6686659157968202,WDM_8keV
145,23,278.48857142857145,213.44528955367554,245900000.0,21.68,13.781428571428572,-5.31245036149456,0.02832618017389023,25.513939375569667,15215.286856346134,0.3501752533357758,0.8736825194179421,0.30594199757221674,WDM_8keV
146,23,278.48857142857145,105.80661315700642,92210000.0,14.0,12.035714285714288,-1.984829003310451,0.10028499359357927,31.58680042306148,709.9562737580619,0.800506451000599,0.7219389756316259,0.5779168072218808,WDM_8keV
148,23,278.48857142857145,129.8353541362114,95030000.0,14.15,12.025714285714285,-2.6514597186987237,0.022819919634877887,27.70556050532653,1311.8491175147929,0.9330377087164646,0.7279363939353134,0.6791921050887306,WDM_8keV
149,23,278.48857142857145,243.1602918879239,202500000.0,20.66,12.770000000000001,-5.153043671154763,0.5014136510221046,31.91338676714618,13137.643369410038,0.6199991821666198,0.850671196738024,0.5274154462702746,WDM_8keV
150,23,278.48857142857145,127.08655976723537,97280000.0,14.7,14.870000000000003,-2.506625861005544,0.04236414987044713,29.19381628868649,1148.022353434224,0.7968784643129094,0.7325391135776839,0.5837446438769247,WDM_8keV
152,23,278.48857142857145,80.62116119638074,63730000.0,12.94,11.271428571428572,-1.0271437366904737,0.04811336534451322,30.949634610157634,293.87151687974983,0.9314941544041077,0.6422981516307764,0.5982969736286314,WDM_8keV
154,23,278.48857142857145,212.74082632084182,398400000.0,21.44,13.225714285714286,-5.355878989859476,0.08387169790157846,27.82764785593129,15836.222534780933,0.733579014994228,0.9180536282033536,0.6734648762892933,WDM_8keV
156,23,278.48857142857145,70.3948310950349,207800000.0,19.75,17.267142857142858,-4.80760200689697,0.017470116758432026,24.96932670161283,9557.422889424008,0.6747720562089357,0.8539209831752923,0.576202017657148,WDM_8keV
157,23,278.48857142857145,266.7382608399395,110000000.0,14.11,12.821428571428571,-2.601260094466781,0.011314557072231883,26.232377363529316,1252.5758605426881,0.7875187547442173,0.7558861859426569,0.595274547881917,WDM_8keV
160,23,278.48857142857145,83.14079157964186,133100000.0,15.44,13.834285714285715,-2.5899376187421446,0.05165994798010732,29.54128187473842,1239.5813900039723,0.39197737737698335,0.7892880615749408,0.30938306437110824,WDM_8keV
161,23,278.48857142857145,139.1855178075251,99820000.0,15.6,11.854285714285716,-2.7506465849315687,0.005259222775377525,24.419410923362456,1437.3370947235812,0.8214086451723552,0.7375514074667171,0.6058311023521998,WDM_8keV
